WORD_EN,WORD_KO,CAT_ID,DIFFICULTY
dog,개,1,1
cat,고양이,1,1
bird,새,1,1
fish,물고기,1,1
rabbit,토끼,1,1
cow,소,1,1
pig,돼지,1,1
horse,말,1,1
sheep,양,1,1
duck,오리,1,1
frog,개구리,1,1
mouse,쥐,1,1
deer,사슴,1,1
snake,뱀,1,1
turtle,거북이,1,1
tiger,호랑이,1,2
elephant,코끼리,1,2
giraffe,기린,1,2
dolphin,돌고래,1,2
penguin,펭귄,1,2
monkey,원숭이,1,2
panda,판다,1,2
bear,곰,1,2
wolf,늑대,1,2
fox,여우,1,2
lion,사자,1,2
zebra,얼룩말,1,2
crocodile,악어,1,2
parrot,앵무새,1,2
hamster,햄스터,1,2
camel,낙타,1,2
kangaroo,캥거루,1,2
koala,코알라,1,2
peacock,공작,1,2
octopus,문어,1,2
cheetah,치타,1,3
rhinoceros,코뿔소,1,3
hippopotamus,하마,1,3
chameleon,카멜레온,1,3
platypus,오리너구리,1,3
gorilla,고릴라,1,3
orangutan,오랑우탄,1,3
flamingo,홍학,1,3
anaconda,아나콘다,1,3
wolverine,울버린,1,3
narwhal,일각고래,1,3
axolotl,아홀로틀,1,3
komodo,코모도왕도마뱀,1,3
capybara,카피바라,1,3
mandrill,맨드릴,1,3
apple,사과,2,1
banana,바나나,2,1
bread,빵,2,1
milk,우유,2,1
egg,달걀,2,1
rice,쌀,2,1
water,물,2,1
juice,주스,2,1
cake,케이크,2,1
cookie,쿠키,2,1
sugar,설탕,2,1
salt,소금,2,1
meat,고기,2,1
soup,국,2,1
pizza,피자,2,1
strawberry,딸기,2,2
watermelon,수박,2,2
pineapple,파인애플,2,2
mushroom,버섯,2,2
tomato,토마토,2,2
potato,감자,2,2
carrot,당근,2,2
onion,양파,2,2
garlic,마늘,2,2
cheese,치즈,2,2
butter,버터,2,2
yogurt,요거트,2,2
noodle,국수,2,2
dumpling,만두,2,2
sausage,소시지,2,2
broccoli,브로콜리,2,2
spinach,시금치,2,2
cucumber,오이,2,2
pepper,고추,2,2
pumpkin,호박,2,2
avocado,아보카도,2,3
asparagus,아스파라거스,2,3
blueberry,블루베리,2,3
raspberry,산딸기,2,3
cranberry,크랜베리,2,3
pomegranate,석류,2,3
persimmon,감,2,3
eggplant,가지,2,3
zucchini,애호박,2,3
artichoke,아티초크,2,3
truffle,트러플,2,3
saffron,사프란,2,3
quinoa,퀴노아,2,3
edamame,에다마메,2,3
kimchi,김치,2,3
run,달리다,3,1
eat,먹다,3,1
sleep,자다,3,1
read,읽다,3,1
write,쓰다,3,1
walk,걷다,3,1
sit,앉다,3,1
stand,서다,3,1
jump,뛰다,3,1
swim,수영하다,3,1
see,보다,3,1
hear,듣다,3,1
drink,마시다,3,1
open,열다,3,1
close,닫다,3,1
speak,말하다,3,2
listen,경청하다,3,2
understand,이해하다,3,2
remember,기억하다,3,2
study,공부하다,3,2
teach,가르치다,3,2
learn,배우다,3,2
work,일하다,3,2
play,놀다,3,2
cook,요리하다,3,2
drive,운전하다,3,2
travel,여행하다,3,2
laugh,웃다,3,2
cry,울다,3,2
think,생각하다,3,2
choose,선택하다,3,2
build,짓다,3,2
explain,설명하다,3,2
prepare,준비하다,3,2
decide,결정하다,3,2
concentrate,집중하다,3,3
accomplish,성취하다,3,3
communicate,소통하다,3,3
demonstrate,시연하다,3,3
investigate,조사하다,3,3
collaborate,협력하다,3,3
negotiate,협상하다,3,3
summarize,요약하다,3,3
distinguish,구별하다,3,3
exaggerate,과장하다,3,3
procrastinate,미루다,3,3
anticipate,예상하다,3,3
rehabilitate,재활하다,3,3
differentiate,차별화하다,3,3
underestimate,과소평가하다,3,3
big,크다,4,1
small,작다,4,1
fast,빠르다,4,1
slow,느리다,4,1
happy,행복하다,4,1
sad,슬프다,4,1
hot,뜨겁다,4,1
cold,차갑다,4,1
new,새롭다,4,1
old,오래되다,4,1
good,좋다,4,1
bad,나쁘다,4,1
long,길다,4,1
short,짧다,4,1
clean,깨끗하다,4,1
beautiful,아름답다,4,2
dangerous,위험하다,4,2
comfortable,편안하다,4,2
curious,궁금하다,4,2
delicious,맛있다,4,2
difficult,어렵다,4,2
easy,쉽다,4,2
important,중요하다,4,2
interesting,흥미롭다,4,2
boring,지루하다,4,2
friendly,친절하다,4,2
honest,정직하다,4,2
brave,용감하다,4,2
clever,영리하다,4,2
gentle,온화하다,4,2
creative,창의적이다,4,2
generous,너그럽다,4,2
patient,인내심이 강하다,4,2
confident,자신감이 있다,4,2
cheerful,명랑하다,4,2
exhausted,지치다,4,3
magnificent,웅장하다,4,3
sophisticated,세련되다,4,3
ambiguous,모호하다,4,3
spontaneous,즉흥적이다,4,3
conscientious,성실하다,4,3
compassionate,동정심이 많다,4,3
perseverant,끈기있다,4,3
meticulous,꼼꼼하다,4,3
resilient,회복력이 강하다,4,3
indispensable,없어서는 안될,4,3
overwhelming,압도적이다,4,3
indecisive,우유부단하다,4,3
unpredictable,예측불가능하다,4,3
extraordinary,비범하다,4,3
school,학교,5,1
friend,친구,5,1
book,책,5,1
phone,전화기,5,1
money,돈,5,1
house,집,5,1
car,자동차,5,1
door,문,5,1
window,창문,5,1
table,테이블,5,1
chair,의자,5,1
bag,가방,5,1
pen,펜,5,1
clock,시계,5,1
key,열쇠,5,1
hospital,병원,5,2
subway,지하철,5,2
convenience,편의점,5,2
market,시장,5,2
library,도서관,5,2
restaurant,식당,5,2
airport,공항,5,2
station,역,5,2
office,사무실,5,2
factory,공장,5,2
umbrella,우산,5,2
suitcase,여행 가방,5,2
calendar,달력,5,2
keyboard,키보드,5,2
notebook,노트북,5,2
elevator,엘리베이터,5,2
escalator,에스컬레이터,5,2
microwave,전자레인지,5,2
refrigerator,냉장고,5,2
television,텔레비전,5,2
pharmacy,약국,5,3
intersection,교차로,5,3
headquarters,본사,5,3
neighborhood,이웃,5,3
maintenance,유지보수,5,3
subscription,구독,5,3
accommodation,숙박,5,3
transportation,교통수단,5,3
infrastructure,인프라,5,3
environment,환경,5,3
municipality,지자체,5,3
bureaucracy,관료주의,5,3
telecommunication,통신,5,3
condominium,아파트,5,3
renovation,리모델링,5,3
sun,태양,6,1
moon,달,6,1
star,별,6,1
tree,나무,6,1
flower,꽃,6,1
rain,비,6,1
wind,바람,6,1
snow,눈,6,1
cloud,구름,6,1
river,강,6,1
sea,바다,6,1
sky,하늘,6,1
rock,바위,6,1
sand,모래,6,1
fire,불,6,1
mountain,산,6,2
forest,숲,6,2
desert,사막,6,2
island,섬,6,2
volcano,화산,6,2
waterfall,폭포,6,2
glacier,빙하,6,2
canyon,협곡,6,2
swamp,습지,6,2
earthquake,지진,6,2
tsunami,쓰나미,6,2
tornado,토네이도,6,2
hurricane,허리케인,6,2
avalanche,눈사태,6,2
rainbow,무지개,6,2
coral,산호,6,2
meadow,초원,6,2
tundra,툰드라,6,2
savanna,사바나,6,2
lagoon,석호,6,2
atmosphere,대기,6,3
ecosystem,생태계,6,3
biodiversity,생물 다양성,6,3
photosynthesis,광합성,6,3
evaporation,증발,6,3
constellation,별자리,6,3
peninsula,반도,6,3
archipelago,군도,6,3
stratosphere,성층권,6,3
troposphere,대류권,6,3
magnetosphere,자기권,6,3
lithosphere,암석권,6,3
hydrosphere,수권,6,3
permafrost,영구동토층,6,3
bioluminescence,생물발광,6,3
soccer,축구,7,1
tennis,테니스,7,1
golf,골프,7,1
ski,스키,7,1
baseball,야구,7,1
basketball,농구,7,1
boxing,권투,7,1
yoga,요가,7,1
running,달리기,7,1
cycling,자전거,7,1
swimming,수영,7,1
hiking,등산,7,1
fishing,낚시,7,1
skating,스케이팅,7,1
bowling,볼링,7,1
volleyball,배구,7,2
badminton,배드민턴,7,2
marathon,마라톤,7,2
archery,양궁,7,2
wrestling,레슬링,7,2
gymnastics,체조,7,2
climbing,클라이밍,7,2
surfing,서핑,7,2
rowing,조정,7,2
handball,핸드볼,7,2
fencing,펜싱,7,2
judo,유도,7,2
taekwondo,태권도,7,2
karate,가라테,7,2
shooting,사격,7,2
skateboard,스케이트보드,7,2
snowboard,스노보드,7,2
paragliding,패러글라이딩,7,2
scuba,스쿠버다이빙,7,2
polo,폴로,7,2
equestrian,승마,7,3
decathlon,10종 경기,7,3
pentathlon,5종 경기,7,3
bobsled,봅슬레이,7,3
luge,루지,7,3
biathlon,바이애슬론,7,3
triathlon,트라이애슬론,7,3
weightlifting,역도,7,3
synchronized,싱크로나이즈,7,3
skeleton,스켈레톤,7,3
mountaineering,등반,7,3
orienteering,오리엔티어링,7,3
powerlifting,파워리프팅,7,3
freediving,프리다이빙,7,3
heptathlon,7종 경기,7,3
doctor,의사,8,1
teacher,선생님,8,1
nurse,간호사,8,1
cook,요리사,8,1
driver,운전사,8,1
farmer,농부,8,1
soldier,군인,8,1
police,경찰관,8,1
singer,가수,8,1
actor,배우,8,1
artist,예술가,8,1
writer,작가,8,1
baker,제빵사,8,1
pilot,조종사,8,1
judge,판사,8,1
engineer,엔지니어,8,2
lawyer,변호사,8,2
designer,디자이너,8,2
architect,건축가,8,2
pharmacist,약사,8,2
journalist,기자,8,2
scientist,과학자,8,2
programmer,프로그래머,8,2
translator,번역가,8,2
accountant,회계사,8,2
firefighter,소방관,8,2
librarian,사서,8,2
mechanic,정비사,8,2
carpenter,목수,8,2
dentist,치과의사,8,2
surgeon,외과의사,8,2
professor,교수,8,2
detective,탐정,8,2
diplomat,외교관,8,2
veterinarian,수의사,8,2
entrepreneur,기업가,8,3
psychologist,심리학자,8,3
anesthesiologist,마취과의사,8,3
neuroscientist,신경과학자,8,3
epidemiologist,역학자,8,3
cinematographer,촬영감독,8,3
choreographer,안무가,8,3
astrophysicist,천체물리학자,8,3
microbiologist,미생물학자,8,3
cryptographer,암호학자,8,3
nanotechnologist,나노기술자,8,3
bioethicist,생명윤리학자,8,3
geopolitician,지정학자,8,3
oceanographer,해양학자,8,3
volcanologist,화산학자,8,3
joy,기쁨,9,1
love,사랑,9,1
hope,희망,9,1
fear,두려움,9,1
anger,분노,9,1
peace,평화,9,1
trust,신뢰,9,1
shame,부끄러움,9,1
pride,자부심,9,1
guilt,죄책감,9,1
jealousy,질투,9,2
loneliness,외로움,9,2
anxiety,불안,9,2
excitement,흥분,9,2
boredom,지루함,9,2
grief,슬픔,9,2
relief,안도,9,2
surprise,놀라움,9,2
disgust,혐오,9,2
nostalgia,향수,9,2
empathy,공감,9,2
gratitude,감사,9,2
curiosity,호기심,9,2
confidence,자신감,9,2
frustration,좌절,9,2
melancholy,우울,9,3
euphoria,행복감,9,3
resentment,원망,9,3
compassion,연민,9,3
indifference,무관심,9,3
ambivalence,양가감정,9,3
schadenfreude,남의 불행에서 기쁨,9,3
serenity,고요함,9,3
contentment,만족감,9,3
apprehension,걱정,9,3
elation,황홀감,9,3
remorse,후회,9,3
admiration,감탄,9,3
contempt,경멸,9,3
vulnerability,취약함,9,3
enthusiasm,열정,9,2
despair,절망,9,2
courage,용기,9,2
humility,겸손,9,2
envy,부러움,9,2
irritation,짜증,9,1
happiness,행복,9,1
sadness,슬픔,9,1
worry,걱정,9,1
stress,스트레스,9,1
internet,인터넷,10,1
computer,컴퓨터,10,1
phone,핸드폰,10,1
camera,카메라,10,1
robot,로봇,10,1
screen,화면,10,1
battery,배터리,10,1
cable,케이블,10,1
software,소프트웨어,10,1
hardware,하드웨어,10,1
database,데이터베이스,10,2
network,네트워크,10,2
server,서버,10,2
browser,브라우저,10,2
password,비밀번호,10,2
download,다운로드,10,2
upload,업로드,10,2
backup,백업,10,2
firewall,방화벽,10,2
bluetooth,블루투스,10,2
wireless,무선,10,2
satellite,위성,10,2
processor,프로세서,10,2
algorithm,알고리즘,10,2
encryption,암호화,10,2
cryptocurrency,암호화폐,10,3
blockchain,블록체인,10,3
cybersecurity,사이버보안,10,3
nanotechnology,나노기술,10,3
biotechnology,생명공학,10,3
semiconductor,반도체,10,3
quantum,양자,10,3
autonomous,자율주행,10,3
augmented,증강현실,10,3
virtualization,가상화,10,3
bandwidth,대역폭,10,3
latency,지연시간,10,3
infrastructure,인프라,10,3
microprocessor,마이크로프로세서,10,3
electromagnetic,전자기,10,3
artificial,인공지능,10,2
cloud,클라우드,10,2
stream,스트리밍,10,2
sensor,센서,10,2
drone,드론,10,2
virus,바이러스,10,1
app,앱,10,1
game,게임,10,1
chat,채팅,10,1
video,비디오,10,1
class,수업,11,1
test,시험,11,1
grade,성적,11,1
pencil,연필,11,1
eraser,지우개,11,1
desk,책상,11,1
board,칠판,11,1
chalk,분필,11,1
ruler,자,11,1
scissors,가위,11,1
homework,숙제,11,2
semester,학기,11,2
lecture,강의,11,2
textbook,교과서,11,2
diploma,졸업장,11,2
campus,캠퍼스,11,2
dormitory,기숙사,11,2
scholarship,장학금,11,2
syllabus,강의계획서,11,2
assignment,과제,11,2
presentation,발표,11,2
research,연구,11,2
experiment,실험,11,2
laboratory,실험실,11,2
curriculum,교육과정,11,2
dissertation,논문,11,3
methodology,방법론,11,3
hypothesis,가설,11,3
bibliography,참고문헌,11,3
accreditation,인증,11,3
interdisciplinary,학제간,11,3
pedagogy,교육학,11,3
epistemology,인식론,11,3
taxonomy,분류학,11,3
heuristic,발견적,11,3
evaluation,평가,11,2
feedback,피드백,11,2
certificate,자격증,11,2
tuition,수업료,11,2
enrollment,등록,11,2
quiz,퀴즈,11,1
answer,정답,11,1
question,질문,11,1
subject,과목,11,1
student,학생,11,1
doctor,의사,12,1
nurse,간호사,12,1
medicine,약,12,1
fever,열,12,1
cold,감기,12,1
pain,통증,12,1
blood,혈액,12,1
heart,심장,12,1
lung,폐,12,1
brain,뇌,12,1
surgery,수술,12,2
treatment,치료,12,2
vaccine,백신,12,2
symptom,증상,12,2
diagnosis,진단,12,2
prescription,처방전,12,2
allergy,알레르기,12,2
infection,감염,12,2
fracture,골절,12,2
bandage,붕대,12,2
anesthesia,마취,12,2
rehabilitation,재활,12,2
ultrasound,초음파,12,2
radiology,방사선,12,2
pathology,병리학,12,2
immunotherapy,면역치료,12,3
chemotherapy,항암치료,12,3
cardiologist,심장전문의,12,3
neurologist,신경과의사,12,3
endocrinology,내분비학,12,3
pharmacology,약리학,12,3
epidemiology,역학,12,3
hematology,혈액학,12,3
oncology,종양학,12,3
gastroenterology,소화기내과,12,3
vitamin,비타민,12,1
hospital,병원,12,1
ambulance,구급차,12,1
emergency,응급,12,1
patient,환자,12,1
checkup,건강검진,12,2
injection,주사,12,2
tablet,알약,12,2
capsule,캡슐,12,2
antibiotic,항생제,12,2
trip,여행,13,1
hotel,호텔,13,1
flight,비행,13,1
ticket,티켓,13,1
map,지도,13,1
tour,투어,13,1
guide,가이드,13,1
visa,비자,13,1
passport,여권,13,1
luggage,짐,13,1
destination,목적지,13,2
itinerary,여행일정,13,2
reservation,예약,13,2
souvenir,기념품,13,2
currency,통화,13,2
exchange,환전,13,2
customs,세관,13,2
boarding,탑승,13,2
departure,출발,13,2
arrival,도착,13,2
accommodation,숙박,13,2
sightseeing,관광,13,2
backpacker,배낭여행자,13,2
layover,경유,13,2
transit,환승,13,2
circumnavigation,세계일주,13,3
expatriate,해외거주자,13,3
pilgrimage,순례여행,13,3
expedition,탐험,13,3
itinerant,유랑하는,13,3
gastrotourism,미식여행,13,3
ecotourism,생태관광,13,3
voluntourism,봉사여행,13,3
staycation,집콕여행,13,3
wanderlust,방랑벽,13,3
landmark,명소,13,2
cruise,크루즈,13,2
safari,사파리,13,2
hostel,호스텔,13,2
ferry,페리,13,2
beach,해변,13,1
mountain,산,13,1
museum,박물관,13,1
temple,사원,13,1
market,시장,13,1
money,돈,14,1
bank,은행,14,1
price,가격,14,1
tax,세금,14,1
cost,비용,14,1
profit,이익,14,1
loss,손실,14,1
salary,월급,14,1
debt,빚,14,1
trade,무역,14,1
investment,투자,14,2
budget,예산,14,2
inflation,인플레이션,14,2
interest,이자,14,2
dividend,배당금,14,2
export,수출,14,2
import,수입,14,2
market,시장,14,2
demand,수요,14,2
supply,공급,14,2
recession,경기침체,14,2
growth,성장,14,2
currency,통화,14,2
insurance,보험,14,2
mortgage,담보대출,14,2
macroeconomics,거시경제학,14,3
microeconomics,미시경제학,14,3
quantitative,양적완화,14,3
cryptocurrency,암호화폐,14,3
derivatives,파생상품,14,3
hedging,헤징,14,3
arbitrage,차익거래,14,3
oligopoly,과점,14,3
monopoly,독점,14,3
elasticity,탄력성,14,3
subsidy,보조금,14,2
tariff,관세,14,2
gdp,국내총생산,14,2
deficit,적자,14,2
surplus,흑자,14,2
stock,주식,14,1
bond,채권,14,1
loan,대출,14,1
savings,저축,14,1
expense,지출,14,1
comprehension,이해력,11,2
vocabulary,어휘,11,1
grammar,문법,11,2
spelling,철자,11,1
reading,독해,11,1
nutrition,영양,12,2
obesity,비만,12,2
diabetes,당뇨,12,2
cancer,암,12,2
stroke,뇌졸중,12,2
culture,문화,13,1
language,언어,13,1
food,음식,13,1
weather,날씨,13,1
transportation,교통,13,2
revenue,수익,14,2
asset,자산,14,2
liability,부채,14,2
equity,자본,14,2
cashflow,현금흐름,14,3
art,예술,15,1
music,음악,15,1
dance,춤,15,1
painting,그림,15,1
sculpture,조각,15,1
poem,시,15,1
novel,소설,15,1
film,영화,15,1
theater,연극,15,1
opera,오페라,15,1
gallery,갤러리,15,2
exhibition,전시회,15,2
concert,콘서트,15,2
orchestra,오케스트라,15,2
canvas,캔버스,15,2
photography,사진,15,2
illustration,삽화,15,2
animation,애니메이션,15,2
calligraphy,서예,15,2
mosaic,모자이크,15,2
watercolor,수채화,15,2
graffiti,그라피티,15,2
portrait,초상화,15,2
landscape,풍경화,15,2
abstract,추상화,15,2
renaissance,르네상스,15,3
impressionism,인상주의,15,3
surrealism,초현실주의,15,3
cubism,입체주의,15,3
baroque,바로크,15,3
contemporary,현대미술,15,3
installation,설치미술,15,3
lithography,석판화,15,3
avant-garde,아방가르드,15,3
postmodernism,포스트모더니즘,15,3
melody,멜로디,15,1
rhythm,리듬,15,1
harmony,하모니,15,2
tempo,템포,15,2
lyrics,가사,15,1
composition,작곡,15,2
instrument,악기,15,1
violin,바이올린,15,2
piano,피아노,15,1
guitar,기타,15,1
trumpet,트럼펫,15,2
flute,플루트,15,2
drum,드럼,15,1
saxophone,색소폰,15,2
cello,첼로,15,2
pollution,오염,16,1
recycling,재활용,16,1
energy,에너지,16,1
waste,쓰레기,16,1
forest,숲,16,1
carbon,탄소,16,2
emission,배출,16,2
renewable,재생가능,16,2
fossil,화석연료,16,2
ozone,오존,16,2
greenhouse,온실,16,2
deforestation,삼림벌채,16,2
biodegradable,생분해,16,2
sustainability,지속가능성,16,2
conservation,보전,16,2
climate,기후,16,2
drought,가뭄,16,2
flooding,홍수,16,2
erosion,침식,16,2
contamination,오염,16,2
ecosystem,생태계,16,2
habitat,서식지,16,2
extinction,멸종,16,2
endangered,멸종위기,16,2
wildlife,야생동물,16,2
photovoltaic,태양광발전,16,3
geothermal,지열에너지,16,3
desalination,담수화,16,3
eutrophication,부영양화,16,3
bioaccumulation,생물농축,16,3
sequestration,탄소격리,16,3
permaculture,퍼머컬처,16,3
rewilding,야생복원,16,3
microplastic,미세플라스틱,16,3
radioisotope,방사성동위원소,16,3
solar,태양열,16,1
wind,풍력,16,1
water,수력,16,1
nuclear,핵에너지,16,2
hydrogen,수소,16,2
compost,퇴비,16,2
organic,유기농,16,1
pesticide,농약,16,2
fertilizer,비료,16,2
irrigation,관개,16,2
family,가족,17,1
community,공동체,17,1
culture,문화,17,1
tradition,전통,17,1
religion,종교,17,1
government,정부,17,2
democracy,민주주의,17,2
law,법,17,1
justice,정의,17,2
equality,평등,17,2
diversity,다양성,17,2
immigration,이민,17,2
poverty,빈곤,17,2
welfare,복지,17,2
education,교육,17,1
media,미디어,17,2
politics,정치,17,2
election,선거,17,2
freedom,자유,17,1
rights,권리,17,2
discrimination,차별,17,2
privilege,특권,17,2
solidarity,연대,17,2
globalization,세계화,17,2
nationalism,민족주의,17,2
totalitarianism,전체주의,17,3
authoritarianism,권위주의,17,3
bureaucracy,관료주의,17,3
geopolitics,지정학,17,3
sovereignty,주권,17,3
disenfranchisement,참정권박탈,17,3
institutionalization,제도화,17,3
marginalization,소외,17,3
intersectionality,교차성,17,3
xenophobia,외국인혐오,17,3
marriage,결혼,17,1
divorce,이혼,17,1
generation,세대,17,1
gender,성별,17,2
race,인종,17,2
class,계층,17,2
identity,정체성,17,2
society,사회,17,1
population,인구,17,2
urbanization,도시화,17,2
red,빨간색,18,1
blue,파란색,18,1
green,초록색,18,1
yellow,노란색,18,1
black,검은색,18,1
white,흰색,18,1
pink,분홍색,18,1
purple,보라색,18,1
orange,주황색,18,1
brown,갈색,18,1
gray,회색,18,1
gold,금색,18,1
silver,은색,18,1
navy,남색,18,2
beige,베이지,18,2
turquoise,청록색,18,2
magenta,마젠타,18,2
violet,보라,18,2
indigo,남색,18,2
crimson,진홍색,18,2
scarlet,주홍색,18,2
amber,호박색,18,2
ivory,상아색,18,2
maroon,적갈색,18,2
teal,청록,18,2
chartreuse,연두색,18,3
cerulean,하늘색,18,3
vermillion,주홍,18,3
ochre,황토색,18,3
sienna,적토색,18,3
ultramarine,울트라마린,18,3
cobalt,코발트,18,3
cadmium,카드뮴색,18,3
viridian,비리디안,18,3
mauve,모브,18,3
spectrum,스펙트럼,18,3
pigment,안료,18,2
hue,색조,18,2
shade,음영,18,2
tint,색조,18,2
bright,밝은,18,1
dark,어두운,18,1
light,연한,18,1
deep,짙은,18,2
pale,창백한,18,2
transparent,투명한,18,2
opaque,불투명한,18,2
glossy,광택있는,18,2
matte,무광,18,2
pastel,파스텔,18,2
number,숫자,19,1
count,세다,19,1
add,더하다,19,1
subtract,빼다,19,1
multiply,곱하다,19,1
divide,나누다,19,1
equal,같다,19,1
percent,퍼센트,19,1
fraction,분수,19,2
decimal,소수,19,2
average,평균,19,2
maximum,최대,19,2
minimum,최소,19,2
sum,합계,19,2
product,곱,19,2
equation,방정식,19,2
formula,공식,19,2
graph,그래프,19,2
statistics,통계,19,2
probability,확률,19,2
geometry,기하학,19,2
algebra,대수학,19,2
calculus,미적분,19,3
theorem,정리,19,2
proof,증명,19,2
matrix,행렬,19,3
vector,벡터,19,3
derivative,미분,19,3
integral,적분,19,3
logarithm,로그,19,3
polynomial,다항식,19,3
coefficient,계수,19,3
asymptote,점근선,19,3
convergence,수렴,19,3
permutation,순열,19,3
combination,조합,19,3
hypothesis,가설,19,2
variable,변수,19,2
constant,상수,19,2
function,함수,19,2
triangle,삼각형,19,1
circle,원,19,1
square,사각형,19,1
angle,각도,19,1
radius,반지름,19,2
diameter,지름,19,2
volume,부피,19,2
area,면적,19,2
perimeter,둘레,19,2
coordinate,좌표,19,2
landfill,매립지,16,2
sewage,하수,16,2
aquifer,대수층,16,3
biofuel,바이오연료,16,2
reforestation,재조림,16,3
census,인구조사,17,2
diaspora,디아스포라,17,3
philanthropy,자선활동,17,3
activism,활동주의,17,2
censorship,검열,17,2
morning,아침,5,1
afternoon,오후,5,1
evening,저녁,5,1
night,밤,5,1
today,오늘,5,1
yesterday,어제,5,1
tomorrow,내일,5,1
week,주,5,1
month,월,5,1
year,년,5,1
minute,분,5,1
second,초,5,1
hour,시간,5,1
spring,봄,6,1
summer,여름,6,1
autumn,가을,6,1
winter,겨울,6,1
east,동쪽,5,1
west,서쪽,5,1
south,남쪽,5,1
north,북쪽,5,1
left,왼쪽,5,1
right,오른쪽,5,1
up,위,5,1
down,아래,5,1
inside,안,5,1
outside,밖,5,1
between,사이,5,2
behind,뒤,5,1
front,앞,5,1
correct,맞다,4,1
wrong,틀리다,4,1
same,같다,4,1
different,다르다,4,1
similar,비슷하다,4,2
possible,가능하다,4,2
impossible,불가능하다,4,2
necessary,필요하다,4,2
enough,충분하다,4,2
free,자유롭다,4,2
accept,받아들이다,3,2
refuse,거절하다,3,2
suggest,제안하다,3,2
improve,향상하다,3,2
achieve,달성하다,3,2
create,만들다,3,1
destroy,파괴하다,3,2
protect,보호하다,3,2
support,지원하다,3,2
share,공유하다,3,2
compare,비교하다,3,2
analyze,분석하다,3,2
develop,개발하다,3,2
manage,관리하다,3,2
organize,정리하다,3,2
